anio,pais,cargo,nivel_experiencia,tipo_empleo,modalidad,industria,tamanio_empresa,sueldo_clp,sueldo_usd,habilidades,n_habilidades,tiene_cert_cloud,tiene_framework_ml
2022,Colombia,MLOps Engineer,Senior,Full Time,Híbrido,Seguros,Mediana (50-500),5870000,6450,"Airflow, Seaborn, NLP, Looker, Deep Learning, GCP, Python, Snowflake, SQL, Keras, FastAPI",11,True,True
2022,Chile,Data Scientist,Semi Senior,Full Time,Remoto,Salud,Grande (+500),3440000,3780,"SQL, dbt, Looker, Keras, Power BI, BigQuery, Kubernetes",7,False,True
2022,Chile,BI Analyst,Junior,Full Time,Presencial,Salud,Pequeña (<50),770000,846,"Excel, Linux, Docker, Tableau, Pandas",5,False,False
2023,Chile,NLP Engineer,Junior,Full Time,Híbrido,Gobierno / Público,Grande (+500),2580000,2835,"Excel, Power BI, NumPy, Matplotlib, NLP, Estadística",6,False,False
2024,Chile,MLOps Engineer,Semi Senior,Contrato,Híbrido,Tecnología,Mediana (50-500),3790000,4164,"Power BI, FastAPI, R, Pandas, dbt, MLflow, Tableau, Azure",8,True,False
2024,Argentina,Data Analyst,Junior,Full Time,Híbrido,Educación,Startup,1430000,1571,"Machine Learning, MLflow, Linux, Keras",4,False,True
2023,Chile,Data Engineer,Semi Senior,Full Time,Híbrido,Minería,Grande (+500),4200000,4615,"Machine Learning, PyTorch, Snowflake, Deep Learning, dbt, scikit-learn, Spark, GCP, Pandas",9,True,True
2023,Chile,Data Analyst,Semi Senior,Part Time,Remoto,Manufactura,Mediana (50-500),2810000,3087,"Excel, TensorFlow, Estadística, Machine Learning, AWS, Deep Learning, scikit-learn",7,True,True
2023,Chile,BI Analyst,Semi Senior,Full Time,Remoto,Fintech / Banca,Pequeña (<50),2720000,2989,"Keras, NLP, R, Kubernetes, scikit-learn, NumPy, AWS, Tableau",8,True,True
2022,México,ML Engineer,Junior,Contrato,Presencial,Fintech / Banca,Mediana (50-500),2700000,2967,"Python, NumPy, TensorFlow, FastAPI, NLP",5,False,True
2024,Chile,NLP Engineer,Junior,Part Time,Remoto,Retail / E-Commerce,Mediana (50-500),3600000,3956,"Keras, SQL, Git, R, PyTorch, Excel",6,False,True
2024,Chile,Data Scientist,Junior,Contrato,Remoto,Gobierno / Público,Pequeña (<50),1880000,2065,"Git, dbt, Seaborn",3,False,False
2024,Chile,ML Engineer,Junior,Freelance,Presencial,Educación,Mediana (50-500),2010000,2208,"Pandas, Power Query, BigQuery",3,False,False
2024,México,ML Engineer,Junior,Full Time,Híbrido,Manufactura,Startup,2070000,2274,"Snowflake, FastAPI, NumPy, Power Query",4,False,False
2023,Chile,MLOps Engineer,Senior,Full Time,Híbrido,Fintech / Banca,Pequeña (<50),6480000,7120,"Looker, dbt, Power BI, Airflow, NLP, GCP, Deep Learning, Estadística",8,True,False
2023,Chile,Data Scientist,Lead,Full Time,Remoto,Salud,Mediana (50-500),9030000,9923,"Git, Snowflake, Kubernetes, Estadística, TensorFlow, MLflow, Tableau, Docker, Keras",9,False,True
2024,Chile,BI Analyst,Semi Senior,Full Time,Híbrido,Telecomunicaciones,Mediana (50-500),2120000,2329,"PyTorch, FastAPI, BigQuery, Machine Learning, Computer Vision, Git",6,False,True
2024,México,Data Engineer,Senior,Full Time,Remoto,Gobierno / Público,Mediana (50-500),5580000,6131,"TensorFlow, AWS, Pandas, Keras, Seaborn, Python, Git, Azure, Docker, Estadística, Power Query, Kubernetes",12,True,True
2022,Chile,AI Engineer,Junior,Part Time,Remoto,Retail / E-Commerce,Grande (+500),3150000,3461,"Kubernetes, SQL, Matplotlib, Excel, Deep Learning",5,False,False
2023,Colombia,Data Engineer,Semi Senior,Full Time,Híbrido,Gobierno / Público,Startup,2430000,2670,"Power Query, Deep Learning, PyTorch, Azure, scikit-learn, TensorFlow, SQL, Docker",8,True,True
2022,Argentina,Data Scientist,Lead,Part Time,Híbrido,Educación,Mediana (50-500),5060000,5560,"AWS, NLP, Power Query, Pandas, Machine Learning, Kubernetes, Snowflake, TensorFlow, Docker",9,True,True
2023,Chile,MLOps Engineer,Senior,Full Time,Híbrido,Gobierno / Público,Startup,5850000,6428,"BigQuery, Snowflake, R, scikit-learn, Kubernetes, Deep Learning, Estadística, SQL, TensorFlow, Airflow, dbt, GCP",12,True,True
2023,Chile,Data Scientist,Semi Senior,Full Time,Remoto,Manufactura,Grande (+500),4500000,4945,"MLflow, Computer Vision, Azure, Machine Learning, Keras, FastAPI, SQL",7,True,True
2022,Argentina,Data Engineer,Semi Senior,Full Time,Híbrido,Minería,Grande (+500),4830000,5307,"BigQuery, PyTorch, Linux, Estadística, Azure, Kubernetes, Python, Excel, Computer Vision",9,True,True
2024,Chile,Data Analyst,Lead,Contrato,Híbrido,Tecnología,Pequeña (<50),5370000,5901,"TensorFlow, Excel, BigQuery, NLP, Pandas, AWS, R, Airflow, Matplotlib, GCP",10,True,True
2023,Chile,Data Engineer,Semi Senior,Full Time,Híbrido,Educación,Grande (+500),2990000,3285,"Azure, Keras, AWS, Power BI, Docker, Snowflake",6,True,True
2022,Colombia,AI Engineer,Senior,Contrato,Híbrido,Minería,Pequeña (<50),5160000,5670,"Python, Airflow, BigQuery, Computer Vision, Spark, Machine Learning, Deep Learning, dbt",8,False,False
2024,Chile,Data Scientist,Semi Senior,Full Time,Remoto,Minería,Mediana (50-500),6200000,6813,"NLP, Excel, Python, Spark, BigQuery, dbt, PyTorch, FastAPI",8,False,True
2022,Chile,Data Analyst,Junior,Full Time,Híbrido,Telecomunicaciones,Grande (+500),1370000,1505,"FastAPI, NumPy, Excel",3,False,False
2024,Chile,Data Scientist,Junior,Full Time,Híbrido,Telecomunicaciones,Mediana (50-500),2260000,2483,"Computer Vision, Seaborn, R, Excel",4,False,False
2024,Chile,AI Engineer,Junior,Full Time,Híbrido,Educación,Grande (+500),2850000,3131,"PyTorch, TensorFlow, dbt, NumPy, Airflow, Docker",6,False,True
2024,Chile,Data Analyst,Senior,Freelance,Remoto,Gobierno / Público,Grande (+500),4430000,4868,"Excel, Deep Learning, MLflow, Machine Learning, FastAPI, Power Query, Azure, PyTorch, Airflow, Looker, Snowflake",11,True,True
2024,Colombia,BI Analyst,Lead,Full Time,Híbrido,Gobierno / Público,Startup,3760000,4131,"Kubernetes, MLflow, GCP, Python, Power BI, Power Query, BigQuery, Pandas, Linux, Deep Learning",10,True,False
2023,Chile,Data Analyst,Senior,Full Time,Remoto,Educación,Startup,3670000,4032,"Docker, Python, GCP, MLflow, PyTorch, Linux, R, Keras, Machine Learning, Airflow, dbt, Azure",12,True,True
2024,Chile,Data Scientist,Junior,Full Time,Híbrido,Seguros,Pequeña (<50),2090000,2296,"AWS, GCP, NumPy",3,True,False
2024,México,BI Analyst,Lead,Full Time,Presencial,Minería,Startup,3850000,4230,"Computer Vision, NumPy, BigQuery, Estadística, Looker, Seaborn, SQL, Power Query, Airflow, Keras",10,False,True
2023,Chile,BI Analyst,Semi Senior,Part Time,Híbrido,Fintech / Banca,Mediana (50-500),2640000,2901,"Tableau, Keras, dbt, SQL, Azure, GCP, Pandas",7,True,True
2023,Colombia,Data Engineer,Semi Senior,Full Time,Híbrido,Educación,Mediana (50-500),3250000,3571,"R, dbt, Estadística, Excel, Spark, NLP, TensorFlow",7,False,True
2022,Chile,BI Analyst,Semi Senior,Full Time,Híbrido,Salud,Mediana (50-500),1860000,2043,"GCP, Excel, NLP, Looker, SQL",5,True,False
2023,Chile,NLP Engineer,Lead,Full Time,Híbrido,Telecomunicaciones,Mediana (50-500),9520000,10461,"FastAPI, Pandas, Keras, scikit-learn, Estadística, Airflow, NumPy, Tableau, Power Query, Seaborn, SQL, Kubernetes, GCP",13,True,True
2022,Chile,ML Engineer,Junior,Full Time,Híbrido,Fintech / Banca,Grande (+500),3080000,3384,"SQL, FastAPI, Docker, Pandas, GCP",5,True,False
2024,Chile,Data Analyst,Junior,Full Time,Presencial,Manufactura,Pequeña (<50),1150000,1263,"Azure, dbt, TensorFlow, Python",4,True,True
2024,Chile,ML Engineer,Junior,Contrato,Remoto,Seguros,Pequeña (<50),2770000,3043,"Azure, Tableau, FastAPI, NumPy",4,True,False
2022,Chile,NLP Engineer,Junior,Full Time,Presencial,Fintech / Banca,Startup,2530000,2780,"Excel, Machine Learning, Linux",3,False,False
2023,Argentina,Data Engineer,Senior,Full Time,Híbrido,Gobierno / Público,Startup,4160000,4571,"BigQuery, Excel, Computer Vision, PyTorch, R, Estadística, Linux, Matplotlib",8,False,True
2022,Chile,NLP Engineer,Junior,Full Time,Híbrido,Salud,Startup,2060000,2263,"Seaborn, Linux, AWS, NumPy, Pandas",5,True,False
2023,Argentina,NLP Engineer,Semi Senior,Full Time,Remoto,Tecnología,Startup,4890000,5373,"MLflow, Matplotlib, PyTorch, scikit-learn, GCP, Estadística",6,True,True
2023,Argentina,ML Engineer,Junior,Full Time,Híbrido,Tecnología,Pequeña (<50),2980000,3274,"Spark, Azure, Deep Learning, Git",4,True,False
2023,Chile,ML Engineer,Semi Senior,Full Time,Presencial,Gobierno / Público,Startup,2810000,3087,"BigQuery, Spark, AWS, Tableau, Seaborn, Computer Vision, Matplotlib",7,True,False
2022,Chile,NLP Engineer,Junior,Contrato,Híbrido,Gobierno / Público,Startup,1630000,1791,"FastAPI, Linux, Tableau, scikit-learn",4,False,True
2022,Chile,MLOps Engineer,Junior,Contrato,Remoto,Fintech / Banca,Grande (+500),4000000,4395,"Keras, NLP, BigQuery",3,False,True
2024,Chile,AI Engineer,Semi Senior,Contrato,Remoto,Gobierno / Público,Startup,4350000,4780,"FastAPI, Machine Learning, Matplotlib, Excel, MLflow, Python, BigQuery",7,False,False
2024,Chile,MLOps Engineer,Senior,Freelance,Híbrido,Salud,Grande (+500),7250000,7967,"Matplotlib, TensorFlow, MLflow, SQL, Snowflake, Docker, BigQuery",7,False,True
2024,Chile,MLOps Engineer,Semi Senior,Full Time,Híbrido,Educación,Startup,3160000,3472,"Deep Learning, PyTorch, GCP, Git, Estadística, Computer Vision",6,True,True
2024,México,BI Analyst,Senior,Full Time,Presencial,Telecomunicaciones,Pequeña (<50),2490000,2736,"Tableau, SQL, Keras, Power Query, NumPy, Docker, BigQuery",7,False,True
2024,Chile,ML Engineer,Junior,Full Time,Presencial,Educación,Startup,1950000,2142,"AWS, Computer Vision, Looker, Machine Learning, dbt, Estadística",6,True,False
2022,Chile,NLP Engineer,Semi Senior,Full Time,Híbrido,Retail / E-Commerce,Mediana (50-500),3230000,3549,"Looker, dbt, Estadística, Seaborn, SQL, Deep Learning",6,False,False
2022,Colombia,NLP Engineer,Senior,Full Time,Presencial,Tecnología,Startup,7080000,7780,"Snowflake, dbt, Computer Vision, Excel, Airflow, NLP, FastAPI, R, TensorFlow, Spark, Pandas, Seaborn",12,False,True
2023,Colombia,ML Engineer,Senior,Full Time,Híbrido,Manufactura,Pequeña (<50),4340000,4769,"Deep Learning, Computer Vision, Looker, BigQuery, MLflow, Seaborn, Azure",7,True,False
2024,Chile,MLOps Engineer,Semi Senior,Contrato,Remoto,Salud,Pequeña (<50),4880000,5362,"Airflow, Power BI, Deep Learning, Azure, MLflow, SQL, NumPy",7,True,False
2022,Chile,AI Engineer,Senior,Full Time,Remoto,Gobierno / Público,Grande (+500),7480000,8219,"dbt, Airflow, PyTorch, BigQuery, Looker, Machine Learning, Deep Learning",7,False,True
2024,México,Data Scientist,Senior,Full Time,Presencial,Gobierno / Público,Mediana (50-500),4630000,5087,"Seaborn, AWS, Airflow, Spark, Power Query, Excel, Linux, Looker, SQL, Azure",10,True,False
2023,Chile,ML Engineer,Lead,Part Time,Presencial,Gobierno / Público,Mediana (50-500),6770000,7439,"NLP, Azure, Docker, Matplotlib, SQL, Pandas, PyTorch, Git, Estadística, Power BI",10,True,True
2024,Chile,Data Scientist,Junior,Contrato,Remoto,Educación,Startup,2190000,2406,"Git, Deep Learning, Airflow, Keras",4,False,True
2024,Argentina,MLOps Engineer,Junior,Full Time,Híbrido,Minería,Startup,3270000,3593,"scikit-learn, BigQuery, Matplotlib",3,False,True
2022,Chile,MLOps Engineer,Semi Senior,Full Time,Remoto,Salud,Pequeña (<50),3600000,3956,"Linux, Computer Vision, Spark, GCP, Airflow, Azure, NumPy, Matplotlib, Excel",9,True,False
2022,México,BI Analyst,Semi Senior,Full Time,Remoto,Fintech / Banca,Grande (+500),2930000,3219,"Matplotlib, Kubernetes, MLflow, Airflow, scikit-learn, SQL, Python, FastAPI",8,False,True
2024,Colombia,ML Engineer,Junior,Full Time,Presencial,Gobierno / Público,Mediana (50-500),1760000,1934,"Excel, PyTorch, Git",3,False,True
2024,Chile,Data Engineer,Lead,Contrato,Remoto,Telecomunicaciones,Pequeña (<50),8790000,9659,"Computer Vision, dbt, Machine Learning, Pandas, PyTorch, Excel, Git, R, Deep Learning, NLP, SQL, GCP, Seaborn, Azure",14,True,True
2023,Chile,Data Scientist,Junior,Freelance,Híbrido,Salud,Mediana (50-500),1910000,2098,"Linux, AWS, Power Query, scikit-learn",4,True,True
2022,Chile,Data Engineer,Semi Senior,Contrato,Híbrido,Educación,Mediana (50-500),2520000,2769,"scikit-learn, R, Tableau, Looker, MLflow, Seaborn, PyTorch",7,False,True
2022,Chile,NLP Engineer,Junior,Contrato,Híbrido,Minería,Mediana (50-500),2650000,2912,"dbt, Keras, NumPy, Linux, MLflow, Python",6,False,True
2022,Chile,NLP Engineer,Semi Senior,Full Time,Híbrido,Educación,Grande (+500),2920000,3208,"TensorFlow, Matplotlib, NumPy, FastAPI, GCP, SQL, Pandas, NLP",8,True,True
2023,Remoto Internacional,ML Engineer,Semi Senior,Full Time,Presencial,Seguros,Grande (+500),3770000,4142,"R, Git, GCP, FastAPI, Matplotlib, Looker",6,True,False
2024,Chile,ML Engineer,Senior,Full Time,Remoto,Seguros,Startup,8440000,9274,"PyTorch, R, GCP, SQL, Seaborn, MLflow, TensorFlow, Spark",8,True,True
2023,Chile,MLOps Engineer,Junior,Freelance,Híbrido,Manufactura,Pequeña (<50),1880000,2065,"R, NumPy, Power BI",3,False,False
2024,Argentina,BI Analyst,Senior,Full Time,Remoto,Fintech / Banca,Startup,4500000,4945,"BigQuery, Keras, Kubernetes, Tableau, SQL, Seaborn, Power Query, Spark, Pandas, Python",10,False,True
2024,Chile,NLP Engineer,Lead,Full Time,Remoto,Gobierno / Público,Grande (+500),11810000,12978,"Power BI, FastAPI, scikit-learn, Computer Vision, Snowflake, Excel, Estadística, MLflow, R, BigQuery",10,False,True
2022,Argentina,ML Engineer,Semi Senior,Full Time,Remoto,Gobierno / Público,Mediana (50-500),2880000,3164,"Pandas, TensorFlow, PyTorch, BigQuery, Estadística, Linux, scikit-learn, Git",8,False,True
2022,Chile,Data Scientist,Semi Senior,Part Time,Remoto,Seguros,Grande (+500),5820000,6395,"Seaborn, Azure, NLP, Spark, Computer Vision, MLflow",6,True,False
2022,Colombia,Data Scientist,Junior,Contrato,Presencial,Gobierno / Público,Startup,1330000,1461,"Python, AWS, Excel",3,True,False
2024,México,AI Engineer,Semi Senior,Full Time,Remoto,Minería,Mediana (50-500),6400000,7032,"Estadística, Spark, AWS, R, FastAPI, Excel, Matplotlib, Snowflake",8,True,False
2024,Chile,ML Engineer,Semi Senior,Full Time,Híbrido,Salud,Pequeña (<50),2900000,3186,"Snowflake, scikit-learn, Seaborn, BigQuery, Looker",5,False,True
2022,Colombia,Data Analyst,Semi Senior,Part Time,Remoto,Retail / E-Commerce,Pequeña (<50),1820000,2000,"Power Query, AWS, Azure, R, SQL, Pandas, Snowflake, Keras",8,True,True
2024,Chile,Data Analyst,Semi Senior,Full Time,Remoto,Seguros,Startup,2990000,3285,"AWS, Azure, SQL, Power Query, Airflow, Power BI, R, TensorFlow, Seaborn",9,True,True
2024,Chile,NLP Engineer,Semi Senior,Contrato,Remoto,Seguros,Startup,4020000,4417,"TensorFlow, Pandas, Kubernetes, scikit-learn, BigQuery, Seaborn",6,False,True
2024,Chile,MLOps Engineer,Senior,Full Time,Remoto,Educación,Mediana (50-500),7650000,8406,"Keras, Docker, Computer Vision, AWS, GCP, Power Query, Tableau, Kubernetes, Seaborn, scikit-learn",10,True,True
2024,Chile,BI Analyst,Lead,Full Time,Remoto,Retail / E-Commerce,Pequeña (<50),4000000,4395,"PyTorch, TensorFlow, Computer Vision, Looker, Docker, Excel, Git, Azure, Snowflake, Keras, FastAPI",11,True,True
2024,Chile,Data Engineer,Senior,Contrato,Híbrido,Gobierno / Público,Mediana (50-500),4030000,4428,"Estadística, Snowflake, Power Query, Docker, MLflow, Spark, BigQuery",7,False,False
2023,Chile,NLP Engineer,Junior,Full Time,Remoto,Educación,Mediana (50-500),2260000,2483,"Python, Estadística, R, Deep Learning",4,False,False
2024,Chile,Data Scientist,Semi Senior,Contrato,Presencial,Educación,Startup,2770000,3043,"Power Query, Spark, Excel, Python, Matplotlib, Seaborn, Docker, scikit-learn",8,False,True
2024,Chile,Data Engineer,Semi Senior,Full Time,Remoto,Retail / E-Commerce,Grande (+500),4390000,4824,"SQL, Computer Vision, Snowflake, PyTorch, Machine Learning, Matplotlib, GCP, Excel",8,True,True
2024,Chile,BI Analyst,Semi Senior,Full Time,Híbrido,Fintech / Banca,Grande (+500),3290000,3615,"MLflow, Machine Learning, dbt, BigQuery, Docker",5,False,False
2024,Colombia,ML Engineer,Semi Senior,Full Time,Híbrido,Seguros,Grande (+500),4580000,5032,"TensorFlow, Git, Seaborn, Computer Vision, R",5,False,True
2022,México,BI Analyst,Semi Senior,Full Time,Híbrido,Manufactura,Grande (+500),2200000,2417,"Spark, TensorFlow, Deep Learning, Docker, Git, Seaborn, Looker",7,False,True
2022,Chile,Data Analyst,Junior,Full Time,Remoto,Salud,Startup,1290000,1417,"Power Query, Looker, TensorFlow, Deep Learning, Matplotlib, dbt",6,False,True
2023,Chile,AI Engineer,Semi Senior,Full Time,Remoto,Seguros,Grande (+500),5770000,6340,"AWS, MLflow, Tableau, scikit-learn, Excel, PyTorch, Power BI, Matplotlib",8,True,True
2024,Argentina,Data Engineer,Semi Senior,Full Time,Remoto,Retail / E-Commerce,Grande (+500),3840000,4219,"Deep Learning, Matplotlib, Estadística, NLP, Seaborn, Pandas",6,False,False
2022,México,Data Scientist,Junior,Contrato,Presencial,Tecnología,Grande (+500),2390000,2626,"Estadística, NumPy, Pandas, Power Query, Snowflake",5,False,False
2023,Chile,NLP Engineer,Semi Senior,Full Time,Presencial,Gobierno / Público,Mediana (50-500),2740000,3010,"Kubernetes, Deep Learning, Seaborn, MLflow, Git, Machine Learning, SQL",7,False,False
2022,Chile,Data Engineer,Semi Senior,Full Time,Híbrido,Minería,Mediana (50-500),4230000,4648,"AWS, BigQuery, Keras, Azure, TensorFlow, Power BI, SQL",7,True,True
2022,Argentina,BI Analyst,Semi Senior,Full Time,Híbrido,Minería,Pequeña (<50),1780000,1956,"Pandas, Matplotlib, Keras, Seaborn, NLP",5,False,True
2023,Chile,Data Engineer,Semi Senior,Part Time,Híbrido,Tecnología,Grande (+500),4910000,5395,"Pandas, Keras, Python, NumPy, BigQuery, Matplotlib, Snowflake, Spark",8,False,True
2024,Colombia,AI Engineer,Lead,Contrato,Presencial,Gobierno / Público,Mediana (50-500),9480000,10417,"NumPy, TensorFlow, Deep Learning, R, Tableau, BigQuery, dbt, Power BI, Keras, Python, GCP, FastAPI",12,True,True
2024,Chile,Data Analyst,Semi Senior,Full Time,Remoto,Tecnología,Pequeña (<50),2280000,2505,"Kubernetes, dbt, GCP, SQL, R, Snowflake, Machine Learning, BigQuery, NumPy",9,True,False
2024,Chile,ML Engineer,Lead,Full Time,Híbrido,Educación,Mediana (50-500),9940000,10923,"Seaborn, Linux, Keras, Machine Learning, AWS, GCP, Deep Learning, Python, Looker",9,True,True
2023,México,BI Analyst,Semi Senior,Full Time,Remoto,Minería,Grande (+500),3330000,3659,"NLP, MLflow, Azure, Machine Learning, Seaborn, BigQuery, Docker, Tableau",8,True,False
2024,Chile,ML Engineer,Junior,Freelance,Presencial,Salud,Startup,1970000,2164,"Git, Excel, Python",3,False,False
2023,Chile,MLOps Engineer,Senior,Full Time,Remoto,Salud,Startup,6990000,7681,"GCP, AWS, Git, MLflow, dbt, Spark, SQL, Estadística",8,True,False
2023,Colombia,AI Engineer,Senior,Full Time,Híbrido,Salud,Startup,4960000,5450,"Keras, Airflow, FastAPI, Deep Learning, Power BI, Pandas, NumPy",7,False,True
2023,Chile,AI Engineer,Semi Senior,Full Time,Remoto,Minería,Mediana (50-500),4990000,5483,"Seaborn, Deep Learning, Machine Learning, Airflow, TensorFlow",5,False,True
2022,México,BI Analyst,Semi Senior,Full Time,Presencial,Gobierno / Público,Grande (+500),1870000,2054,"Pandas, Computer Vision, PyTorch, Matplotlib, Excel, SQL",6,False,True
2024,Chile,AI Engineer,Semi Senior,Full Time,Remoto,Seguros,Grande (+500),7820000,8593,"Looker, GCP, AWS, scikit-learn, Azure",5,True,True
2024,Chile,BI Analyst,Senior,Full Time,Híbrido,Salud,Pequeña (<50),3620000,3978,"Matplotlib, Keras, Python, PyTorch, Airflow, Snowflake, AWS, Git, Spark, Docker, Azure",11,True,True
2024,México,Data Engineer,Junior,Full Time,Presencial,Telecomunicaciones,Mediana (50-500),2660000,2923,"Estadística, Computer Vision, Tableau",3,False,False
2024,Argentina,ML Engineer,Senior,Full Time,Híbrido,Fintech / Banca,Startup,6990000,7681,"Snowflake, NumPy, AWS, FastAPI, Python, Seaborn, Estadística, Power BI, TensorFlow, Tableau",10,True,True
2022,Chile,Data Engineer,Senior,Full Time,Remoto,Salud,Mediana (50-500),3780000,4153,"Tableau, SQL, Deep Learning, Machine Learning, Snowflake, scikit-learn, Power BI",7,False,True
2023,Colombia,Data Scientist,Senior,Full Time,Híbrido,Manufactura,Grande (+500),5490000,6032,"Python, scikit-learn, TensorFlow, Docker, MLflow, NLP, Snowflake, Excel, NumPy",9,False,True
2023,Chile,BI Analyst,Junior,Full Time,Presencial,Telecomunicaciones,Pequeña (<50),820000,901,"Looker, Tableau, scikit-learn, Python",4,False,True
2024,Chile,Data Analyst,Senior,Full Time,Presencial,Salud,Mediana (50-500),3320000,3648,"scikit-learn, Docker, Looker, Deep Learning, AWS, Matplotlib, MLflow, Excel, Kubernetes, NumPy, Power BI, Machine Learning",12,True,True
2023,Remoto Internacional,BI Analyst,Lead,Full Time,Híbrido,Educación,Mediana (50-500),4130000,4538,"TensorFlow, Computer Vision, BigQuery, PyTorch, Spark, Git, AWS, Matplotlib, Keras, dbt, Seaborn",11,True,True
2023,Colombia,Data Scientist,Junior,Full Time,Híbrido,Minería,Grande (+500),2540000,2791,"NLP, Kubernetes, Estadística, MLflow, Machine Learning",5,False,False
2024,Chile,Data Analyst,Senior,Full Time,Remoto,Minería,Pequeña (<50),3640000,4000,"Linux, NLP, Excel, TensorFlow, Tableau, GCP, Computer Vision",7,True,True
2022,México,ML Engineer,Senior,Full Time,Híbrido,Telecomunicaciones,Grande (+500),8130000,8934,"Linux, TensorFlow, Kubernetes, Machine Learning, Seaborn, Spark, PyTorch, Git, Matplotlib, Power Query, MLflow",11,False,True
2024,Chile,AI Engineer,Senior,Freelance,Híbrido,Educación,Pequeña (<50),4490000,4934,"Looker, dbt, Keras, Computer Vision, Power BI, Deep Learning, PyTorch, Spark, Machine Learning, TensorFlow",10,False,True
2022,Chile,Data Engineer,Junior,Freelance,Híbrido,Fintech / Banca,Grande (+500),3050000,3351,"Pandas, Keras, FastAPI, scikit-learn, Git, R",6,False,True
2023,Chile,NLP Engineer,Senior,Full Time,Híbrido,Retail / E-Commerce,Pequeña (<50),4900000,5384,"NumPy, SQL, R, Machine Learning, NLP, Computer Vision, Power BI, GCP, Kubernetes, Azure, Power Query",11,True,False
2023,Argentina,NLP Engineer,Semi Senior,Contrato,Híbrido,Fintech / Banca,Mediana (50-500),4880000,5362,"Power Query, Machine Learning, PyTorch, FastAPI, Matplotlib, GCP",6,True,True
2024,Colombia,NLP Engineer,Senior,Full Time,Híbrido,Gobierno / Público,Startup,4620000,5076,"Deep Learning, Azure, Looker, Power BI, GCP, PyTorch, Spark, MLflow, BigQuery, FastAPI",10,True,True
2024,Chile,BI Analyst,Senior,Full Time,Remoto,Salud,Pequeña (<50),3010000,3307,"Matplotlib, SQL, NumPy, Git, Power BI, Docker, AWS, NLP, Computer Vision",9,True,False
2023,Chile,BI Analyst,Junior,Full Time,Remoto,Retail / E-Commerce,Mediana (50-500),1560000,1714,"FastAPI, TensorFlow, NumPy",3,False,True
2023,Argentina,Data Engineer,Junior,Full Time,Híbrido,Seguros,Grande (+500),2990000,3285,"dbt, SQL, Deep Learning, Snowflake, Azure, GCP",6,True,False
2024,Remoto Internacional,MLOps Engineer,Junior,Full Time,Remoto,Tecnología,Startup,3930000,4318,"Looker, NumPy, Azure, FastAPI, AWS, Docker",6,True,False
2022,Remoto Internacional,Data Analyst,Semi Senior,Full Time,Remoto,Tecnología,Mediana (50-500),2840000,3120,"Linux, Kubernetes, Excel, scikit-learn, MLflow, Azure, PyTorch, R, Deep Learning",9,True,True
2023,Chile,NLP Engineer,Semi Senior,Full Time,Híbrido,Seguros,Grande (+500),4360000,4791,"Machine Learning, Pandas, GCP, Estadística, Looker, PyTorch, FastAPI",7,True,True
2024,Chile,NLP Engineer,Senior,Full Time,Presencial,Manufactura,Mediana (50-500),4070000,4472,"Power Query, Docker, Computer Vision, dbt, Looker, Pandas, BigQuery, Linux",8,False,False
2022,Colombia,MLOps Engineer,Lead,Full Time,Híbrido,Fintech / Banca,Mediana (50-500),8880000,9758,"FastAPI, Machine Learning, Estadística, Pandas, Snowflake, Looker, R, Power Query, scikit-learn, Docker, PyTorch, Keras, Deep Learning, Excel",14,False,True
2022,Colombia,AI Engineer,Senior,Full Time,Remoto,Retail / E-Commerce,Startup,6680000,7340,"FastAPI, Computer Vision, Power Query, Machine Learning, Docker, Pandas, NLP, SQL",8,False,False
2023,México,Data Analyst,Junior,Full Time,Remoto,Telecomunicaciones,Grande (+500),1770000,1945,"R, Power Query, SQL, Power BI",4,False,False
2023,Chile,ML Engineer,Junior,Contrato,Presencial,Salud,Grande (+500),2500000,2747,"Linux, PyTorch, Spark",3,False,True
2024,Colombia,ML Engineer,Semi Senior,Contrato,Híbrido,Manufactura,Grande (+500),4220000,4637,"Airflow, Power Query, Excel, Spark, FastAPI, Power BI, Git, Linux, Azure",9,True,False
2022,Chile,BI Analyst,Senior,Full Time,Presencial,Educación,Mediana (50-500),2500000,2747,"Docker, dbt, NLP, Estadística, PyTorch, Machine Learning, MLflow, SQL",8,False,True
2023,Chile,NLP Engineer,Semi Senior,Full Time,Híbrido,Tecnología,Pequeña (<50),4110000,4516,"Keras, Seaborn, Deep Learning, Snowflake, Estadística, BigQuery, Python",7,False,True
2023,México,Data Scientist,Senior,Full Time,Remoto,Fintech / Banca,Mediana (50-500),9520000,10461,"Seaborn, TensorFlow, Spark, NLP, GCP, Python, Deep Learning, PyTorch, Keras, R, Git, Snowflake",12,True,True
2024,Chile,AI Engineer,Junior,Full Time,Híbrido,Telecomunicaciones,Startup,2590000,2846,"dbt, Excel, Power Query",3,False,False
2022,Chile,NLP Engineer,Senior,Contrato,Presencial,Seguros,Startup,5500000,6043,"Airflow, Looker, Tableau, Matplotlib, Docker, FastAPI, Seaborn, Estadística, dbt, NLP, Azure, Kubernetes",12,True,False
2022,México,Data Scientist,Senior,Full Time,Presencial,Telecomunicaciones,Startup,5150000,5659,"FastAPI, Pandas, Excel, TensorFlow, Looker, Power Query, Airflow, Matplotlib",8,False,True
2024,Remoto Internacional,Data Engineer,Senior,Full Time,Híbrido,Educación,Pequeña (<50),4020000,4417,"Pandas, MLflow, GCP, Excel, Docker, AWS, Power Query, Looker",8,True,False
